customer_id,tenure,contract,monthly_charges,total_charges,payment_method,internet_service,support_calls,customer_since,churn
CUST-0001,56,Month-to-month,28.73,1575.62,Credit card,DSL,3.0,2023-01-03,No
CUST-0002,67,One year,65.11,4454.27,Credit card,Fiber optic,1.0,2023-02-05,No
CUST-0003,55,Month-to-month,51.58,2629.83,Mailed check,No,0.0,2023-03-05,No
CUST-0004,12,One year,50.32,573.84,Credit card,No,0.0,2023-04-15,No
CUST-0005,10,Month-to-month,69.15,725.22,Electronic check,DSL,2.0,2023-05-13,No
CUST-0006,28,Month-to-month,88.18,2534.16,Credit card,Fiber optic,0.0,2023-06-23,No
CUST-0007,51,One year,53.87,2734.66,Bank transfer,DSL,0.0,2023-07-13,No
CUST-0008,41,One year,68.67,2786.96,Bank transfer,DSL,0.0,2023-08-24,Yes
CUST-0009,16,Month-to-month,64.21,1036.73,Credit card,Fiber optic,1.0,2023-09-27,No
CUST-0010,57,One year,48.07,2837.47,Bank transfer,DSL,0.0,2023-10-14,No
CUST-0011,34,Month-to-month,84.7,2939.83,Bank transfer,Fiber optic,1.0,2023-11-19,Yes
CUST-0012,27,Month-to-month,64.0,1805.07,Electronic check,No,1.0,2023-12-17,No
CUST-0013,52,Month-to-month,72.91,3839.38,Electronic check,Fiber optic,1.0,2024-01-08,Yes
CUST-0014,13,Two year,61.49,746.22,Credit card,DSL,1.0,2024-02-15,No
CUST-0015,30,Month-to-month,83.35,2368.71,Bank transfer,Fiber optic,0.0,2024-03-21,No
CUST-0016,67,One year,54.67,3655.07,Electronic check,DSL,2.0,2024-04-09,Yes
CUST-0017,36,Two year,82.02,2923.86,Bank transfer,Fiber optic,0.0,2024-05-19,No
CUST-0018,2,Two year,62.47,120.57,Mailed check,Fiber optic,,2024-06-08,No
CUST-0019,48,One year,70.51,3414.18,Credit card,Fiber optic,0.0,2024-07-07,Yes
CUST-0020,27,Two year,91.97,2386.23,Credit card,Fiber optic,0.0,2024-08-15,No
CUST-0021,68,Month-to-month,58.83,4103.91,Electronic check,Fiber optic,5.0,2024-09-27,No
CUST-0022,27,Month-to-month,59.63,1520.7,Credit card,Fiber optic,1.0,2024-10-12,No
CUST-0023,13,One year,64.58,774.25,,Fiber optic,2.0,2024-11-21,Yes
CUST-0024,17,Month-to-month,77.27,1358.86,Credit card,Fiber optic,2.0,2024-12-05,No
CUST-0025,54,Month-to-month,50.74,2939.7,Electronic check,No,1.0,2025-01-03,No
